$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 37814.086,   19.05
 37814.126,   19.05
 37814.169,   19.01
 37814.209,   18.98
 37814.253,   18.95
 37814.293,   18.95
 37814.335,   18.99
 37814.376,   19.05
 37814.419,   19.08
 37814.459,   19.09
 37814.503,   19.10
 37814.542,   19.09
 37814.586,   18.87
 37814.626,   18.83
 37814.669,   18.99
 37814.709,   19.07
 37814.751,   19.05
 37814.794,   19.16
 37814.836,   19.15
 37814.877,   19.19
 37814.917,   19.15
 37814.960,   19.13
 37815.003,   18.93
 37815.043,   18.98
 37815.086,   18.98
 37815.127,   18.94
 37815.169,   18.95
 37815.209,   18.99
 37815.251,   18.98
 37815.293,   18.88
 37815.335,   18.94
 37815.375,   18.96
 37815.419,   18.96
 37815.459,   18.95
 37815.504,   19.00
 37815.544,   19.02
 37815.584,   19.06
 37815.627,   18.99
 37815.668,   18.90
 37815.710,   18.93
 37815.752,   18.95
 37815.792,   19.12
 37815.836,   19.10
 37815.876,   19.10
 37815.920,   19.18
 37815.960,   19.19
 37816.004,   19.15
 37816.044,   19.15
 37816.083,   19.23
 37816.129,   19.28
 37816.167,   19.23
 37816.208,   19.16
 37816.253,   19.10
 37816.292,   19.16
 37816.334,   18.66
 37816.376,   19.14
 37816.419,   19.07
 37816.458,   19.37
 37816.504,   19.48
 37816.542,   19.44
 37816.585,   19.48
 37816.625,   19.46
 37816.667,   19.16
 37816.710,   19.34
 37816.753,   19.49
 37816.795,   19.39
 37816.836,   19.30
 37816.875,   19.23
 37816.918,   19.29
 37816.959,   19.54
 37817.004,   19.53
 37817.044,   19.59
 37817.086,   19.64
 37817.129,   19.59
 37817.170,   19.37
 37817.210,   19.39
 37817.256,   19.37
 37817.295,   19.41
 37817.337,   19.42
 37817.377,   19.41
 37817.419,   19.66
 37817.460,   19.70
 37817.506,   19.77
 37817.543,   19.82
 37817.589,   19.85
 37817.628,   19.85
 37817.668,   19.84
 37817.710,   19.77
 37817.753,   19.78
 37817.793,   19.77
 37817.835,   19.76
 37817.876,   19.79
 37817.917,   19.79
 37817.959,   19.81
 37818.005,   19.80
 37818.046,   19.79
 37818.084,   19.82
 37818.129,   19.85
 37818.170,   19.85
 37818.210,   19.87
 37818.254,   19.85
 37818.293,   19.84
 37818.338,   19.84
 37818.378,   19.84
 37818.418,   19.86
 37818.460,   19.87
 37818.504,   19.80
 37818.545,   19.70
 37818.586,   20.00
 37818.625,   19.78
 37818.670,   19.85
 37818.710,   19.89
 37818.751,   19.82
 37818.792,   19.89
 37818.835,   19.85
 37818.875,   19.85
 37818.920,   19.91
 37818.959,   19.96
